fold,human_gene,target_gene,h_chrom,h_strand,h_gc,h_rep,t_chrom,t_strand,t_gc,t_rep
train,ENSG00000101577,ENSMMUG00000017548,chr18,-,0.5940,0.0000,18,-,0.5680,0.6290
train,ENSG00000125409,ENSMMUG00000002208,chr17,-,0.5200,0.0000,16,-,0.3530,0.8960
train,ENSG00000157510,ENSMMUG00000021660,chr5,+,0.5400,0.0000,6,+,0.4230,0.5070
train,ENSG00000186038,ENSMMUG00000047491,chr3,+,0.4150,0.0000,2,+,0.4600,0.6240
train,ENSG00000125831,ENSMMUG00000022393,chr20,-,0.5750,0.0000,10,+,0.5700,0.1130
train,ENSG00000186654,ENSMMUG00000065248,chr22,+,0.5960,0.0000,10,-,0.6380,0.2410
train,ENSG00000175697,ENSMMUG00000001981,chr3,-,0.5310,0.0000,2,+,0.3790,0.0990
train,ENSG00000146399,ENSMMUG00000015088,chr6,-,0.3610,0.0000,4,-,0.3270,0.3250
train,ENSG00000129675,ENSMMUG00000013768,chrX,-,0.4290,0.0000,X,-,0.4420,0.0440
train,ENSG00000111328,ENSMMUG00000000434,chr12,-,0.4460,0.0000,11,-,0.6550,0.3890
test,ENSG00000134013,ENSMMUG00000050549,chr8,-,0.4100,0.0000,8,-,0.5800,0.0870
train,ENSG00000134595,ENSMMUG00000013179,chrX,-,0.6130,0.0000,X,-,0.6230,0.0710
test,ENSG00000168828,ENSMMUG00000062401,chr9,-,0.4800,0.0000,15,+,0.4810,0.5760
train,ENSG00000133103,ENSMMUG00000004486,chr13,+,0.3830,0.0000,17,+,0.3820,0.3170
train,ENSG00000064787,ENSMMUG00000020082,chr20,-,0.4290,0.0000,10,-,0.4020,0.2260
train,ENSG00000136518,ENSMMUG00000009742,chr3,+,0.4940,0.0000,2,+,0.4870,0.4040
train,ENSG00000188157,ENSMMUG00000000838,chr1,+,0.7570,0.0000,1,-,0.7110,0.5200
train,ENSG00000202300,ENSMMUG00000028337,chr1,-,0.4790,0.0000,1,-,0.4850,0.5040
train,ENSG00000252501,ENSMMUG00000035050,chr1,-,0.4780,0.0000,1,+,0.4820,0.7340
test,ENSG00000206907,ENSMMUG00000024620,chr9,+,0.4280,0.0000,15,-,0.4300,0.6960
train,ENSG00000027869,ENSMMUG00000010917,chr1,-,0.4770,0.0000,1,+,0.5410,0.4770
train,ENSG00000182870,ENSMMUG00000003735,chr12,-,0.7010,0.0000,11,-,0.4600,0.4910
train,ENSG00000124818,ENSMMUG00000013751,chr6,+,0.3400,0.0000,4,-,0.4170,0.1770
val,ENSG00000076685,ENSMMUG00000003749,chr10,-,0.6560,0.0000,9,-,0.5590,0.5060
train,ENSG00000013016,ENSMMUG00000003476,chr2,+,0.5030,0.0000,13,-,0.5070,0.3960
train,ENSG00000197977,ENSMMUG00000013908,chr6,-,0.6620,0.0000,4,+,0.6650,0.3850
val,ENSG00000065154,ENSMMUG00000010485,chr10,-,0.5960,0.0000,9,-,0.5930,0.2190
train,ENSG00000114378,ENSMMUG00000020121,chr3,-,0.6060,0.0000,2,-,0.5250,0.6790
train,ENSG00000158292,ENSMMUG00000057977,chr1,-,0.6850,0.0000,1,+,0.5000,0.8860
train,ENSG00000135540,ENSMMUG00000000123,chr6,-,0.7800,0.0000,4,-,0.7520,0.3410
train,ENSG00000139668,ENSMMUG00000009421,chr13,+,0.6160,0.0000,17,+,0.6580,0.2870
train,ENSG00000200034,ENSMMUG00000028251,chr2,-,0.4900,0.0000,13,+,0.4880,0.4630
train,ENSG00000273885,ENSMMUG00000028064,chr11,+,0.3770,0.0000,14,+,0.3710,0.2660
train,ENSG00000173852,ENSMMUG00000009865,chr7,-,0.4310,0.0000,3,+,0.5760,0.0170
test,ENSG00000283526,ENSMMUG00000058925,chr9,+,0.5450,0.0000,15,-,0.5740,0.5620
train,ENSG00000091972,ENSMMUG00000016076,chr3,+,0.4730,0.0000,2,-,0.3390,0.6450
train,ENSG00000069493,ENSMMUG00000015293,chr12,+,0.3720,0.0000,11,-,0.4060,0.3310
train,ENSG00000207099,ENSMMUG00000061741,chr12,+,0.3820,0.0000,11,+,0.3870,0.3560
train,ENSG00000168769,ENSMMUG00000017831,chr4,+,0.3870,0.0000,5,+,0.3500,0.1140
train,ENSG00000118276,ENSMMUG00000016674,chr18,-,0.4330,0.0000,18,+,0.5290,0.0000
train,ENSG00000000419,ENSMMUG00000002759,chr20,-,0.5920,0.0000,10,-,0.5740,0.0000
train,ENSG00000067365,ENSMMUG00000006900,chr16,+,0.5000,0.0000,20,+,0.4950,0.6620
train,ENSG00000168538,ENSMMUG00000023651,chr4,+,0.5920,0.0000,5,+,0.5210,0.2360
test,ENSG00000147604,ENSMMUG00000005141,chr8,-,0.4030,0.0000,8,-,0.6280,0.0880
train,ENSG00000143633,ENSMMUG00000005803,chr1,-,0.5410,0.0000,1,+,0.5450,0.0070
train,ENSG00000164037,ENSMMUG00000011206,chr4,-,0.4530,0.0000,5,-,0.4440,0.3730
train,ENSG00000134107,ENSMMUG00000056699,chr3,+,0.7110,0.0000,2,+,0.7150,0.0750
train,ENSG00000118873,ENSMMUG00000007784,chr1,-,0.3920,0.0000,1,-,0.3940,0.4820
train,ENSG00000143632,ENSMMUG00000022086,chr1,-,0.6530,0.0000,1,+,0.6560,0.0070
train,ENSG00000061656,ENSMMUG00000020959,chr20,+,0.5240,0.0000,10,+,0.5520,0.6460
train,ENSG00000077238,ENSMMUG00000004666,chr16,+,0.5190,0.0000,20,+,0.5130,0.7440
train,ENSG00000173769,ENSMMUG00000015127,chr3,+,0.4960,0.0000,2,+,0.5520,0.5490
train,ENSG00000113302,ENSMMUG00000021701,chr5,-,0.5810,0.0000,6,-,0.4660,0.2610
val,ENSG00000170324,ENSMMUG00000004056,chr10,-,0.5090,0.0000,9,+,0.4970,0.1990
train,ENSG00000240936,ENSMMUG00000047337,chr6,-,0.4480,0.0000,4,+,0.4470,0.9670
train,ENSG00000140400,ENSMMUG00000009279,chr15,-,0.4660,0.0000,7,-,0.4760,0.0170
train,ENSG00000130270,ENSMMUG00000002846,chr19,-,0.6750,0.0000,19,-,0.6890,0.3750
train,ENSG00000119888,ENSMMUG00000012390,chr2,+,0.4540,0.0000,13,-,0.4700,0.3570
train,ENSG00000183762,ENSMMUG00000021370,chr22,+,0.5760,0.0000,10,-,0.6190,0.6340
test,ENSG00000214050,ENSMMUG00000007480,chr8,-,0.4350,0.0000,8,-,0.4300,0.3210
train,ENSG00000151247,ENSMMUG00000011066,chr4,-,0.5200,0.0000,5,-,0.5280,0.2000
train,ENSG00000184307,ENSMMUG00000001946,chr3,+,0.5200,0.0000,2,-,0.7290,0.1740
test,ENSG00000164929,ENSMMUG00000019398,chr8,+,0.5420,0.0000,8,+,0.5610,0.2940
train,ENSG00000106603,ENSMMUG00000019023,chr7,-,0.3830,0.0000,3,+,0.5010,0.6310
train,ENSG00000201965,ENSMMUG00000026385,chr3,-,0.5810,0.0000,2,-,0.5840,0.0880
train,ENSG00000201616,ENSMMUG00000026782,chr11,-,0.5350,0.0000,14,-,0.5340,0.7470
train,ENSG00000143167,ENSMMUG00000065239,chr1,-,0.4600,0.0000,1,-,0.3950,0.9700
train,ENSG00000104946,ENSMMUG00000011626,chr19,+,0.5710,0.0000,19,+,0.5850,0.0200
train,ENSG00000168056,ENSMMUG00000023479,chr11,-,0.6030,0.0000,14,+,0.7100,0.2950
test,ENSG00000119457,ENSMMUG00000000568,chr9,-,0.6040,0.0000,15,+,0.6280,0.0000
train,ENSG00000168269,ENSMMUG00000014124,chr5,+,0.5630,0.0000,6,+,0.5490,0.3900
train,ENSG00000150907,ENSMMUG00000030780,chr13,-,0.6510,0.0000,17,-,0.6760,0.2650
train,ENSG00000169248,ENSMMUG00000053130,chr4,-,0.2880,0.0000,5,+,0.3930,0.1970
train,ENSG00000212466,ENSMMUG00000025655,chr11,+,0.3780,0.0000,14,+,0.3790,0.3450
train,ENSG00000160392,ENSMMUG00000008946,chr19,-,0.5220,0.0000,19,-,0.5550,0.1890
train,ENSG00000204542,ENSMMUG00000057952,chr6,-,0.5020,0.0000,4,+,0.5210,0.4600
test,ENSG00000222293,ENSMMUG00000034706,chr9,-,0.4620,0.0000,15,-,0.4610,0.5670
train,ENSG00000133315,ENSMMUG00000056751,chr11,-,0.6280,0.0000,14,+,0.4850,0.7000
train,ENSG00000111907,ENSMMUG00000062110,chr6,+,0.3570,0.0000,4,+,0.3430,1.0000
train,ENSG00000169857,ENSMMUG00000005278,chr15,-,0.4140,0.0000,7,-,0.5060,0.2950
train,ENSG00000272474,ENSMMUG00000026414,chr14,+,0.3200,0.0000,7,+,0.3250,0.0700
train,ENSG00000182827,ENSMMUG00000019058,chr1,-,0.5110,0.0000,1,-,0.5520,0.3650
train,ENSG00000182040,ENSMMUG00000054593,chr17,-,0.6730,0.0000,16,-,0.6570,0.0200
train,ENSG00000222170,ENSMMUG00000028392,chr16,-,0.4620,0.0000,20,-,0.4570,0.7240
train,ENSG00000172867,ENSMMUG00000002305,chr12,-,0.4500,0.0000,11,-,0.4440,0.0290
train,ENSG00000105668,ENSMMUG00000006711,chr19,+,0.5840,0.0000,19,+,0.5950,0.3590
train,ENSG00000180914,ENSMMUG00000009703,chr3,-,0.4240,0.0000,2,-,0.4120,0.0980
train,ENSG00000199080,ENSMMUG00000027032,chr6,+,0.3510,0.0000,4,-,0.3470,0.5800
train,ENSG00000181788,ENSMMUG00000015590,chr3,-,0.5240,0.0000,2,-,0.5230,0.2050
train,ENSG00000139687,ENSMMUG00000007891,chr13,+,0.5260,0.0000,17,+,0.5330,0.3030
train,ENSG00000199740,ENSMMUG00000027375,chr12,-,0.4030,0.0000,11,-,0.4020,0.4880
train,ENSG00000175066,ENSMMUG00000012151,chr3,-,0.4780,0.0000,2,-,0.4730,0.3530
train,ENSG00000075884,ENSMMUG00000006528,chr2,+,0.3630,0.0000,12,+,0.4180,0.0120
train,ENSG00000124942,ENSMMUG00000022301,chr11,-,0.5750,0.0000,14,+,0.6020,0.0000
train,ENSG00000198604,ENSMMUG00000058073,chr14,-,0.3010,0.0000,7,-,0.6750,0.0920
train,ENSG00000135083,ENSMMUG00000023073,chr5,-,0.4930,0.0000,6,-,0.4770,0.2740
train,ENSG00000084234,ENSMMUG00000018029,chr11,+,0.4290,0.0000,14,+,0.6620,0.1390
train,ENSG00000253831,ENSMMUG00000059081,chr1,-,0.5500,0.0000,1,+,0.4920,0.5580
train,ENSG00000101438,ENSMMUG00000003376,chr20,+,0.6850,0.0000,10,+,0.6670,0.0380
val,ENSG00000148450,ENSMMUG00000010388,chr10,+,0.5140,0.0000,9,+,0.5020,0.9930
train,ENSG00000156194,ENSMMUG00000015716,chr4,-,0.4280,0.0000,5,+,0.4640,0.2820
train,ENSG00000168878,ENSMMUG00000017818,chr2,-,0.5170,0.0000,13,+,0.5570,0.0750
train,ENSG00000080572,ENSMMUG00000023174,chrX,+,0.5640,0.0000,X,+,0.5650,0.0080
train,ENSG00000171236,ENSMMUG00000023701,chr19,-,0.4720,0.0000,19,-,0.4320,0.5570
train,ENSG00000174348,ENSMMUG00000007604,chr1,+,0.5980,0.0000,1,-,0.5400,0.4420
train,ENSG00000200215,ENSMMUG00000065191,chr14,+,0.3430,0.0000,7,+,0.3250,0.0420
train,ENSG00000127922,ENSMMUG00000004127,chr7,-,0.3700,0.0000,3,+,0.3420,0.1910
train,ENSG00000202017,ENSMMUG00000028453,chr5,-,0.4330,0.0000,6,-,0.3840,0.7130
train,ENSG00000064692,ENSMMUG00000009997,chr5,+,0.4370,0.0000,6,+,0.6380,0.1910
train,ENSG00000199075,ENSMMUG00000026954,chr3,+,0.4790,0.0000,2,+,0.4750,0.1690
train,ENSG00000207808,ENSMMUG00000026947,chr19,-,0.6030,0.0000,19,-,0.6110,0.2510
test,ENSG00000207036,ENSMMUG00000057926,chr8,+,0.3330,0.0000,8,+,0.3330,0.3870
train,ENSG00000196277,ENSMMUG00000011231,chr3,+,0.5250,0.0000,2,+,0.6420,0.1570
train,ENSG00000144596,ENSMMUG00000006342,chr3,-,0.5610,0.0000,2,-,0.5780,0.1910
train,ENSG00000144488,ENSMMUG00000018486,chr2,+,0.5910,0.0000,12,+,0.6160,0.0170
train,ENSG00000073861,ENSMMUG00000057231,chr17,+,0.5650,0.0000,16,-,0.4580,0.3740
train,ENSG00000134697,ENSMMUG00000008419,chr1,-,0.4600,0.0000,1,+,0.5030,0.3470
train,ENSG00000100968,ENSMMUG00000003370,chr14,+,0.3620,0.0000,7,+,0.6110,0.1410
test,ENSG00000171133,ENSMMUG00000064363,chr9,-,0.3780,0.0000,15,+,0.3940,0.6870
train,ENSG00000136490,ENSMMUG00000016755,chr17,-,0.5990,0.0000,16,-,0.7550,0.2270
train,ENSG00000207313,ENSMMUG00000024975,chr12,-,0.3820,0.0000,11,-,0.3800,0.3650
train,ENSG00000101224,ENSMMUG00000018922,chr20,+,0.7530,0.0000,10,-,0.5490,0.3140
train,ENSG00000133961,ENSMMUG00000020196,chr14,-,0.4360,0.0000,7,-,0.4780,0.2650
train,ENSG00000158077,ENSMMUG00000008585,chr11,+,0.5480,0.0000,14,-,0.3740,0.6290
train,ENSG00000140505,ENSMMUG00000021832,chr15,+,0.4710,0.0000,7,+,0.5260,0.1940
train,ENSG00000144741,ENSMMUG00000001529,chr3,+,0.3450,0.0000,2,+,0.4160,0.1720
train,ENSG00000166368,ENSMMUG00000017135,chr11,-,0.3490,0.0000,14,+,0.3470,0.0080
test,ENSG00000147485,ENSMMUG00000002781,chr8,-,0.3940,0.0000,8,-,0.4250,0.0630
train,ENSG00000145882,ENSMMUG00000021663,chr5,+,0.5250,0.0000,6,+,0.4940,0.3900
train,ENSG00000213886,ENSMMUG00000049400,chr6,-,0.3930,0.0000,4,+,0.4480,0.3430
train,ENSG00000120341,ENSMMUG00000020320,chr1,-,0.3830,0.0000,1,-,0.4210,0.2730
train,ENSG00000173597,ENSMMUG00000062115,chr4,-,0.3260,0.0000,5,+,0.3700,0.1960
train,ENSG00000160791,ENSMMUG00000055383,chr3,+,0.3950,0.0000,2,+,0.4030,0.1350
train,ENSG00000188257,ENSMMUG00000021862,chr1,-,0.4680,0.0000,1,+,0.4650,0.4990
train,ENSG00000117834,ENSMMUG00000007558,chr1,+,0.5050,0.0000,1,-,0.4960,0.3440
train,ENSG00000168411,ENSMMUG00000008375,chr16,-,0.4720,0.0000,20,-,0.4690,0.0180
train,ENSG00000039123,ENSMMUG00000010379,chr5,+,0.5800,0.0000,6,+,0.5440,0.0400
train,ENSG00000163431,ENSMMUG00000001923,chr1,-,0.5120,0.0000,1,-,0.5000,0.0900
test,ENSG00000158669,ENSMMUG00000014721,chr8,+,0.4830,0.0000,8,+,0.5120,0.6540
train,ENSG00000114107,ENSMMUG00000007760,chr3,-,0.4620,0.0000,2,-,0.5010,0.1440
train,ENSG00000172915,ENSMMUG00000019831,chr13,+,0.5170,0.0000,17,+,0.6820,0.2100
train,ENSG00000173011,ENSMMUG00000049270,chr4,+,0.4840,0.0000,5,-,0.7310,0.1600
test,ENSG00000164935,ENSMMUG00000010760,chr8,+,0.4750,0.0000,8,+,0.4840,0.7810
train,ENSG00000146918,ENSMMUG00000013719,chr7,-,0.6360,0.0000,3,-,0.5750,0.3720
train,ENSG00000141959,ENSMMUG00000004173,chr21,+,0.6240,0.0000,3,-,0.4550,0.7860
train,ENSG00000008294,ENSMMUG00000022528,chr17,-,0.5360,0.0000,16,+,0.5230,0.4620
test,ENSG00000172889,ENSMMUG00000026981,chr9,+,0.6020,0.0000,15,-,0.6550,0.0540
train,ENSG00000128989,ENSMMUG00000061585,chr15,-,0.4340,0.0000,7,-,0.5530,0.2720
train,ENSG00000164129,ENSMMUG00000020242,chr4,+,0.5240,0.0000,5,+,0.3260,0.2590
train,ENSG00000090975,ENSMMUG00000015931,chr12,-,0.6640,0.0000,11,-,0.4870,0.0680
train,ENSG00000158156,ENSMMUG00000054886,chr1,+,0.5830,0.0000,1,-,0.5880,0.3170
test,ENSG00000155970,ENSMMUG00000017992,chr8,+,0.5180,0.0000,8,+,0.5390,0.0910
train,ENSG00000132842,ENSMMUG00000001360,chr5,-,0.5480,0.0000,6,-,0.5600,0.3670
train,ENSG00000170929,ENSMMUG00000059930,chr19,+,0.4540,0.0000,19,+,0.4420,0.7310
train,ENSG00000284368,ENSMMUG00000038026,chr17,-,0.4190,0.0000,16,-,0.4210,0.0700
train,ENSG00000110723,ENSMMUG00000000797,chr11,-,0.4080,0.0000,14,-,0.4160,0.1390
test,ENSG00000188710,ENSMMUG00000064112,chr9,-,0.6200,0.0000,15,+,0.5280,0.3270
train,ENSG00000111834,ENSMMUG00000001805,chr6,+,0.4280,0.0000,4,+,0.4550,0.2120
train,ENSG00000128298,ENSMMUG00000002699,chr22,-,0.6240,0.0000,10,+,0.6240,0.0640
train,ENSG00000134249,ENSMMUG00000017482,chr1,-,0.4800,0.0000,1,+,0.5190,0.0490
train,ENSG00000206203,ENSMMUG00000017385,chr22,+,0.5200,0.0000,10,-,0.5340,0.5040
train,ENSG00000149922,ENSMMUG00000000981,chr16,-,0.6280,0.0000,20,+,0.6240,0.0770
train,ENSG00000139921,ENSMMUG00000001901,chr14,+,0.4430,0.0000,7,+,0.4550,0.3680
train,ENSG00000204371,ENSMMUG00000011679,chr6,-,0.5090,0.0000,4,+,0.5180,0.0520
train,ENSG00000183044,ENSMMUG00000046237,chr16,+,0.5890,0.0000,20,+,0.5940,0.2140
val,ENSG00000171206,ENSMMUG00000004394,chr10,+,0.5370,0.0000,9,+,0.7360,0.2430
train,ENSG00000105251,ENSMMUG00000028927,chr19,+,0.6470,0.0000,19,+,0.5890,0.2440
train,ENSG00000034152,ENSMMUG00000010904,chr17,+,0.6640,0.0000,16,+,0.6620,0.2150
train,ENSG00000182481,ENSMMUG00000016685,chr17,+,0.4190,0.0000,16,+,0.4040,0.4330
train,ENSG00000110048,ENSMMUG00000001745,chr11,-,0.5430,0.0000,14,+,0.5440,0.0070
train,ENSG00000127831,ENSMMUG00000016899,chr2,+,0.5650,0.0000,12,+,0.5420,0.5920
train,ENSG00000200398,ENSMMUG00000063567,chr15,+,0.5870,0.0000,7,-,0.5860,0.0000
train,ENSG00000200013,ENSMMUG00000028044,chr17,-,0.3730,0.0000,16,-,0.3750,0.0400
train,ENSG00000166484,ENSMMUG00000008536,chr17,+,0.4040,0.0000,16,+,0.6160,0.0710
train,ENSG00000207214,ENSMMUG00000060381,chr7,+,0.3230,0.0000,3,+,0.3240,0.5190
train,ENSG00000089818,ENSMMUG00000015253,chr12,+,0.3430,0.0000,11,-,0.4260,0.2050
train,ENSG00000022267,ENSMMUG00000007922,chrX,+,0.4090,0.0000,X,+,0.6220,0.4620
train,ENSG00000178498,ENSMMUG00000001180,chr12,+,0.5080,0.0000,11,+,0.4320,0.0740
train,ENSG00000175879,ENSMMUG00000023504,chr2,+,0.6050,0.0000,12,+,0.7170,0.2030
train,ENSG00000103495,ENSMMUG00000019826,chr16,+,0.7020,0.0000,20,-,0.8230,0.7940
train,ENSG00000146021,ENSMMUG00000011925,chr5,-,0.4330,0.0000,6,-,0.4270,0.3950
train,ENSG00000100605,ENSMMUG00000009974,chr14,-,0.5630,0.0000,7,-,0.6260,0.2410
train,ENSG00000159189,ENSMMUG00000020756,chr1,+,0.6160,0.0000,1,-,0.6180,0.0070
test,ENSG00000104408,ENSMMUG00000011359,chr8,-,0.5260,0.0000,8,-,0.4290,0.3240
train,ENSG00000205667,ENSMMUG00000043795,chrX,+,0.4160,0.0000,X,+,0.4150,0.5840
train,ENSG00000212907,ENSMMUG00000065379,chrM,+,0.4090,0.0000,MT,+,0.4160,0.0000
train,ENSG00000239112,ENSMMUG00000035865,chr5,+,0.3790,0.0000,6,+,0.4020,0.3560
train,ENSG00000202385,ENSMMUG00000024142,chr1,-,0.3950,0.0000,1,+,0.4090,0.2370
train,ENSG00000168938,ENSMMUG00000010651,chr5,-,0.5140,0.0000,6,-,0.5270,0.2060
train,ENSG00000143147,ENSMMUG00000010395,chr1,-,0.3850,0.0000,1,-,0.4300,0.1840
train,ENSG00000125966,ENSMMUG00000018206,chr20,+,0.5930,0.0000,10,+,0.6440,0.4180
train,ENSG00000171840,ENSMMUG00000049234,chr12,-,0.4460,0.0000,11,-,0.4860,0.2700
train,ENSG00000094661,ENSMMUG00000053220,chr19,+,0.4920,0.0000,19,+,0.4700,0.6240
train,ENSG00000177311,ENSMMUG00000031526,chr3,+,0.4160,0.0000,2,+,0.5150,0.2280
train,ENSG00000105438,ENSMMUG00000013072,chr19,-,0.6540,0.0000,19,-,0.6170,0.2140
train,ENSG00000170965,ENSMMUG00000023039,chrX,-,0.3760,0.0000,X,-,0.4280,0.2140
train,ENSG00000196296,ENSMMUG00000023526,chr16,+,0.5960,0.0000,20,-,0.5250,0.4300
train,ENSG00000161914,ENSMMUG00000020617,chr19,-,0.5860,0.0000,19,-,0.5880,0.2660
train,ENSG00000215277,ENSMMUG00000014743,chr14,+,0.3710,0.0000,7,+,0.4810,0.8630
train,ENSG00000132670,ENSMMUG00000005878,chr20,+,0.6370,0.0000,10,-,0.6350,0.0460
train,ENSG00000068323,ENSMMUG00000023494,chrX,-,0.5590,0.0000,X,-,0.5520,0.1660
train,ENSG00000069956,ENSMMUG00000029652,chr15,+,0.4200,0.0000,7,+,0.5600,0.1350
test,ENSG00000160408,ENSMMUG00000018686,chr9,-,0.5710,0.0000,15,+,0.5650,0.4710
val,ENSG00000165731,ENSMMUG00000015400,chr10,+,0.6730,0.0000,9,+,0.6550,0.1560
val,ENSG00000207029,ENSMMUG00000060602,chr10,+,0.4300,0.0000,9,+,0.5040,0.5670
train,ENSG00000207395,ENSMMUG00000058545,chr15,+,0.3460,0.0000,7,+,0.3370,0.0820
train,ENSG00000249242,ENSMMUG00000001485,chr4,-,0.4830,0.0000,5,+,0.4730,0.4640
test,ENSG00000196814,ENSMMUG00000000871,chr9,+,0.6630,0.0000,15,-,0.6770,0.2880
train,ENSG00000196227,ENSMMUG00000057303,chr20,+,0.7260,0.0000,10,+,0.3490,0.6580
train,ENSG00000065413,ENSMMUG00000022425,chr2,-,0.4690,0.0000,12,-,0.3850,0.9050
train,ENSG00000202440,ENSMMUG00000024882,chr4,-,0.3190,0.0000,5,+,0.3150,0.2600
train,ENSG00000165168,ENSMMUG00000013220,chrX,+,0.3680,0.0000,X,+,0.3710,0.3070
train,ENSG00000180638,ENSMMUG00000014134,chr17,-,0.5630,0.0000,16,-,0.6220,0.0740
train,ENSG00000184207,ENSMMUG00000055128,chr16,-,0.6330,0.0000,20,-,0.6640,0.2660
train,ENSG00000212388,ENSMMUG00000035476,chr15,-,0.4090,0.0000,7,+,0.4020,0.4480
train,ENSG00000213445,ENSMMUG00000007416,chr11,+,0.5610,0.0000,14,-,0.6100,0.1340
train,ENSG00000121988,ENSMMUG00000000765,chr2,-,0.6400,0.0000,12,-,0.5840,0.0630
train,ENSG00000184232,ENSMMUG00000012249,chr11,+,0.5780,0.0000,14,+,0.5670,0.1420
train,ENSG00000166979,ENSMMUG00000048824,chr21,+,0.5680,0.0000,3,-,0.7050,0.2130
train,ENSG00000168003,ENSMMUG00000020354,chr11,+,0.4780,0.0000,14,-,0.4810,0.0000
train,ENSG00000101782,ENSMMUG00000021478,chr18,+,0.4450,0.0000,18,-,0.4460,0.2100
train,ENSG00000133119,ENSMMUG00000003371,chr13,+,0.3760,0.0000,17,+,0.3840,0.1220
train,ENSG00000185974,ENSMMUG00000007427,chr13,+,0.5680,0.0000,17,+,0.5810,0.1690
train,ENSG00000044090,ENSMMUG00000002451,chr6,-,0.5010,0.0000,4,+,0.5080,0.0600
train,ENSG00000212565,ENSMMUG00000032827,chr17,+,0.4900,0.0000,16,-,0.4910,0.9880
train,ENSG00000143156,ENSMMUG00000021079,chr1,-,0.4550,0.0000,1,-,0.4560,0.0070
test,ENSG00000169436,ENSMMUG00000047643,chr8,-,0.6110,0.0000,8,-,0.5380,0.3630
train,ENSG00000203797,ENSMMUG00000050899,chr6,-,0.4840,0.0000,4,-,0.4400,0.5610
train,ENSG00000166068,ENSMMUG00000010704,chr15,+,0.7220,0.0000,7,+,0.7480,0.1960
train,ENSG00000173599,ENSMMUG00000004533,chr11,-,0.5710,0.0000,14,+,0.5270,0.5680
test,ENSG00000147443,ENSMMUG00000023464,chr8,-,0.4500,0.0000,8,-,0.4490,0.1020
val,ENSG00000183128,ENSMMUG00000061162,chr10,-,0.5170,0.0000,9,-,0.7610,0.1990
train,ENSG00000177731,ENSMMUG00000018355,chr17,-,0.5840,0.0000,16,-,0.5830,0.5870
train,ENSG00000204386,ENSMMUG00000021707,chr6,-,0.5580,0.0000,4,+,0.5600,0.4450
train,ENSG00000222624,ENSMMUG00000034409,chr1,+,0.3220,0.0000,1,-,0.3280,0.0460
train,ENSG00000141013,ENSMMUG00000000401,chr16,+,0.7720,0.0000,20,+,0.5250,0.2950
train,ENSG00000076351,ENSMMUG00000019151,chr17,-,0.5270,0.0000,16,-,0.4950,0.6360
train,ENSG00000100711,ENSMMUG00000018121,chr14,+,0.6640,0.0000,7,+,0.6650,0.2480
train,ENSG00000243991,ENSMMUG00000049790,chr3,-,0.3670,0.0000,2,+,0.3760,0.9600
train,ENSG00000199880,ENSMMUG00000034153,chr5,-,0.3510,0.0000,6,-,0.4370,0.9940
test,ENSG00000207595,ENSMMUG00000026876,chr9,+,0.3580,0.0000,15,-,0.3640,0.2280
test,ENSG00000095380,ENSMMUG00000049493,chr9,+,0.5630,0.0000,15,-,0.5390,0.7560
train,ENSG00000164818,ENSMMUG00000018261,chr7,+,0.5750,0.0000,3,+,0.5800,0.4720
test,ENSG00000187764,ENSMMUG00000008629,chr9,-,0.5910,0.0000,15,-,0.5730,0.1730
train,ENSG00000109452,ENSMMUG00000003697,chr4,-,0.4410,0.0000,5,-,0.3980,0.7630
train,ENSG00000134986,ENSMMUG00000002768,chr5,-,0.3870,0.0000,6,-,0.4170,0.3220
train,ENSG00000070018,ENSMMUG00000023317,chr12,-,0.5800,0.0000,11,-,0.6490,0.0700
train,ENSG00000160179,ENSMMUG00000018058,chr21,+,0.3890,0.0000,3,-,0.4010,0.2720
test,ENSG00000201830,ENSMMUG00000024748,chr9,+,0.3590,0.0000,15,-,0.3570,0.5680
train,ENSG00000131196,ENSMMUG00000022596,chr18,+,0.6980,0.0000,18,-,0.6720,0.2950
train,ENSG00000108423,ENSMMUG00000019303,chr17,-,0.6230,0.0000,16,+,0.6200,0.1130
train,ENSG00000112667,ENSMMUG00000013990,chr6,-,0.5440,0.0000,4,+,0.5280,0.8530
train,ENSG00000221116,ENSMMUG00000045100,chr20,+,0.5170,0.0000,10,-,0.5120,0.3000
train,ENSG00000143545,ENSMMUG00000017586,chr1,-,0.4900,0.0000,1,+,0.4530,0.5770
train,ENSG00000198793,ENSMMUG00000019325,chr1,-,0.4990,0.0000,1,+,0.4860,0.5190
train,ENSG00000177868,ENSMMUG00000059313,chr1,-,0.4240,0.0000,1,+,0.4510,0.5980
train,ENSG00000167173,ENSMMUG00000008529,chr15,+,0.5240,0.0000,7,+,0.5160,0.4940
train,ENSG00000284873,ENSMMUG00000053140,chr11,+,0.3810,0.0000,14,-,0.3810,0.0070
train,ENSG00000212298,ENSMMUG00000037905,chr12,+,0.4250,0.0000,11,+,0.4140,0.8090
train,ENSG00000143303,ENSMMUG00000000038,chr1,+,0.5040,0.0000,1,-,0.5160,0.1850
train,ENSG00000176563,ENSMMUG00000012641,chr17,+,0.5380,0.0000,16,+,0.5690,0.0000
train,ENSG00000198855,ENSMMUG00000017123,chr12,+,0.5650,0.0000,11,+,0.5760,0.4730
train,ENSG00000240374,ENSMMUG00000043005,chr1,-,0.4870,0.0000,1,+,0.4820,0.7700
