fold,human_gene,target_gene,h_chrom,h_strand,h_gc,h_rep,t_chrom,t_strand,t_gc,t_rep
train,ENSG00000198886,ENSMMUG00000065387,chrM,+,0.4010,0.0000,MT,+,0.4070,0.0000
train,ENSG00000162851,ENSMMUG00000055490,chr1,-,0.6020,0.0000,1,+,0.6460,0.0070
train,ENSG00000157379,ENSMMUG00000010051,chr14,-,0.5910,0.0000,7,-,0.5760,0.0630
train,ENSG00000168803,ENSMMUG00000017067,chr15,+,0.6510,0.0000,7,+,0.6430,0.0000
train,ENSG00000051620,ENSMMUG00000000122,chr6,+,0.5380,0.0000,4,+,0.6810,0.0110
train,ENSG00000169592,ENSMMUG00000020276,chr16,+,0.6160,0.0000,20,-,0.6390,0.0350
train,ENSG00000137877,ENSMMUG00000003844,chr15,-,0.6490,0.0000,7,-,0.6350,0.0000
train,ENSG00000215475,ENSMMUG00000041756,chr13,-,0.3920,0.0000,17,-,0.4000,0.0830
train,ENSG00000179796,ENSMMUG00000060958,chr3,+,0.5020,0.0000,2,-,0.4720,0.1520
train,ENSG00000068001,ENSMMUG00000006994,chr3,-,0.5910,0.0000,2,-,0.5820,0.0080
train,ENSG00000146678,ENSMMUG00000059330,chr7,+,0.5040,0.0000,3,-,0.4790,0.1900
train,ENSG00000175826,ENSMMUG00000010547,chr17,-,0.5070,0.0000,16,-,0.6100,0.0000
train,ENSG00000262152,ENSMMUG00000058718,chr16,+,0.6670,0.0000,20,+,0.6440,0.0000
train,ENSG00000145331,ENSMMUG00000056735,chr4,-,0.3450,0.0000,5,-,0.3550,0.0000
train,ENSG00000212391,ENSMMUG00000032945,chr2,-,0.3850,0.0000,12,-,0.3880,0.1750
test,ENSG00000159899,ENSMMUG00000016334,chr9,+,0.5200,0.0000,15,-,0.7040,0.1940
train,ENSG00000087266,ENSMMUG00000014335,chr4,+,0.6740,0.0000,5,+,0.6690,0.0810
train,ENSG00000157005,ENSMMUG00000000850,chr3,-,0.4240,0.0000,2,+,0.4010,0.0300
train,ENSG00000115866,ENSMMUG00000040854,chr2,-,0.4070,0.0000,12,-,0.4990,0.0740
val,ENSG00000206660,ENSMMUG00000025130,chr10,+,0.6630,0.0000,9,+,0.6640,0.0200
train,ENSG00000184005,ENSMMUG00000005990,chr1,+,0.4840,0.0000,1,-,0.5280,0.1830
val,ENSG00000120594,ENSMMUG00000015370,chr10,+,0.6400,0.0000,9,+,0.6780,0.0940
train,ENSG00000163739,ENSMMUG00000008367,chr4,+,0.5350,0.0000,5,-,0.5120,0.0070
train,ENSG00000166046,ENSMMUG00000003711,chr12,+,0.4190,0.0000,11,+,0.6290,0.1300
train,ENSG00000172409,ENSMMUG00000058453,chr11,+,0.5530,0.0000,14,-,0.5930,0.0070
train,ENSG00000106038,ENSMMUG00000056313,chr7,+,0.4760,0.0000,3,-,0.5270,0.1170
train,ENSG00000112297,ENSMMUG00000008120,chr6,+,0.5140,0.0000,4,-,0.4640,0.1730
train,ENSG00000284184,ENSMMUG00000041313,chr16,-,0.4420,0.0000,20,-,0.4080,0.0000
train,ENSG00000157456,ENSMMUG00000029628,chr15,+,0.4090,0.0000,7,+,0.3340,0.0370
train,ENSG00000165556,ENSMMUG00000052070,chr13,-,0.4260,0.0000,17,-,0.4810,0.1710
train,ENSG00000171522,ENSMMUG00000016167,chr5,+,0.5980,0.0000,6,+,0.5930,0.1010
train,ENSG00000090061,ENSMMUG00000001201,chr14,+,0.7710,0.0000,7,+,0.7520,0.1670
train,ENSG00000145244,ENSMMUG00000021779,chr4,-,0.4140,0.0000,5,-,0.4230,0.0150
test,ENSG00000196378,ENSMMUG00000014308,chr8,-,0.5770,0.0000,8,-,0.5730,0.0680
train,ENSG00000166573,ENSMMUG00000053003,chr18,+,0.5480,0.0000,18,-,0.7180,0.0690
train,ENSG00000012983,ENSMMUG00000020550,chr14,-,0.4230,0.0000,7,-,0.5580,0.1330
test,ENSG00000176919,ENSMMUG00000032142,chr9,+,0.7320,0.0000,15,-,0.7210,0.1360
train,ENSG00000171621,ENSMMUG00000002052,chr1,+,0.6290,0.0000,1,-,0.6140,0.0760
test,ENSG00000126882,ENSMMUG00000021278,chr9,-,0.7490,0.0000,15,+,0.7690,0.1740
train,ENSG00000181026,ENSMMUG00000022516,chr15,+,0.5310,0.0000,7,+,0.6100,0.0390
train,ENSG00000005700,ENSMMUG00000010749,chr6,-,0.5380,0.0000,4,+,0.5450,0.1380
train,ENSG00000147118,ENSMMUG00000001258,chrX,-,0.5400,0.0000,X,-,0.4890,0.1140
train,ENSG00000222011,ENSMMUG00000037761,chr7,+,0.4540,0.0000,3,+,0.5040,0.1440
train,ENSG00000178950,ENSMMUG00000016919,chr4,-,0.5630,0.0000,5,-,0.5830,0.1070
train,ENSG00000078687,ENSMMUG00000011924,chr17,+,0.6880,0.0000,16,+,0.3220,0.1470
train,ENSG00000111540,ENSMMUG00000031853,chr12,+,0.4910,0.0000,11,+,0.5140,0.1130
train,ENSG00000102978,ENSMMUG00000020474,chr16,+,0.4400,0.0000,20,+,0.5070,0.0440
train,ENSG00000162636,ENSMMUG00000009429,chr1,+,0.4850,0.0000,1,-,0.6120,0.1720
test,ENSG00000107282,ENSMMUG00000011401,chr9,-,0.6990,0.0000,15,-,0.6740,0.1730
train,ENSG00000115295,ENSMMUG00000010259,chr2,+,0.4550,0.0000,13,-,0.5920,0.1810
train,ENSG00000200486,ENSMMUG00000051935,chr15,+,0.6100,0.0000,7,-,0.6000,0.0000
train,ENSG00000204657,ENSMMUG00000021482,chr6,+,0.4120,0.0000,4,-,0.4270,0.1870
train,ENSG00000089289,ENSMMUG00000054817,chrX,+,0.4140,0.0000,X,+,0.4500,0.1920
train,ENSG00000087448,ENSMMUG00000021742,chr12,+,0.5850,0.0000,11,+,0.6470,0.0580
test,ENSG00000156795,ENSMMUG00000028923,chr8,+,0.5810,0.0000,8,+,0.5710,0.1750
train,ENSG00000105298,ENSMMUG00000028931,chr19,-,0.5850,0.0000,19,-,0.5920,0.1300
train,ENSG00000111058,ENSMMUG00000013800,chr12,+,0.3650,0.0000,11,+,0.4880,0.0940
train,ENSG00000196329,ENSMMUG00000049295,chr7,+,0.4280,0.0000,3,+,0.4920,0.1620
train,ENSG00000007933,ENSMMUG00000007952,chr1,+,0.3690,0.0000,1,+,0.3680,0.1950
train,ENSG00000137409,ENSMMUG00000021976,chr6,-,0.5690,0.0000,4,+,0.6070,0.1090
train,ENSG00000116922,ENSMMUG00000044826,chr1,-,0.6130,0.0000,1,+,0.6000,0.1340
train,ENSG00000138698,ENSMMUG00000022417,chr4,+,0.6890,0.0000,5,+,0.6950,0.0950
train,ENSG00000134900,ENSMMUG00000007247,chr13,+,0.5460,0.0000,17,+,0.5680,0.0610
train,ENSG00000150893,ENSMMUG00000002702,chr13,+,0.5230,0.0000,17,+,0.4210,0.0070
train,ENSG00000129757,ENSMMUG00000037980,chr11,-,0.7340,0.0000,14,-,0.6880,0.1700
train,ENSG00000206827,ENSMMUG00000062609,chr18,+,0.3070,0.0000,18,-,0.2950,0.0470
train,ENSG00000139053,ENSMMUG00000050529,chr12,+,0.3940,0.0000,11,+,0.3340,0.1020
train,ENSG00000144224,ENSMMUG00000012248,chr2,+,0.4370,0.0000,12,+,0.4580,0.0000
val,ENSG00000107833,ENSMMUG00000015774,chr10,-,0.4800,0.0000,9,-,0.5010,0.0730
train,ENSG00000147231,ENSMMUG00000014606,chrX,+,0.4340,0.0000,X,+,0.4220,0.1950
train,ENSG00000173320,ENSMMUG00000004898,chr4,+,0.6070,0.0000,5,+,0.6380,0.0150
train,ENSG00000189182,ENSMMUG00000045353,chr12,-,0.3990,0.0000,11,-,0.4170,0.1820
train,ENSG00000003393,ENSMMUG00000018155,chr2,-,0.4420,0.0000,12,-,0.5340,0.0000
train,ENSG00000063660,ENSMMUG00000056083,chr2,+,0.7350,0.0000,12,+,0.6540,0.1120
train,ENSG00000006747,ENSMMUG00000000880,chr7,+,0.4450,0.0000,3,-,0.4720,0.0260
train,ENSG00000153560,ENSMMUG00000016917,chr3,-,0.4380,0.0000,2,+,0.5820,0.0900
train,ENSG00000149050,ENSMMUG00000009267,chr11,-,0.5110,0.0000,14,+,0.5920,0.0070
train,ENSG00000171885,ENSMMUG00000014934,chr18,-,0.3580,0.0000,18,+,0.3740,0.1800
train,ENSG00000010319,ENSMMUG00000018872,chr3,-,0.6130,0.0000,2,-,0.6160,0.0110
train,ENSG00000115239,ENSMMUG00000010634,chr2,-,0.3860,0.0000,13,+,0.4520,0.0810
train,ENSG00000182885,ENSMMUG00000015690,chr16,+,0.6150,0.0000,20,+,0.6140,0.1720
train,ENSG00000173250,ENSMMUG00000023287,chr5,-,0.4150,0.0000,6,-,0.4050,0.1170
val,ENSG00000176273,ENSMMUG00000045531,chr10,+,0.4750,0.0000,9,+,0.4970,0.0690
train,ENSG00000167889,ENSMMUG00000016300,chr17,+,0.6200,0.0000,16,+,0.6920,0.1860
train,ENSG00000213928,ENSMMUG00000040817,chr14,+,0.5810,0.0000,7,+,0.5860,0.0000
train,ENSG00000207759,ENSMMUG00000026915,chr1,-,0.2950,0.0000,1,-,0.2950,0.0410
train,ENSG00000144468,ENSMMUG00000000722,chr2,+,0.4750,0.0000,12,+,0.5760,0.1770
train,ENSG00000122386,ENSMMUG00000009487,chr16,+,0.5240,0.0000,20,+,0.5400,0.0070
train,ENSG00000151093,ENSMMUG00000014798,chr3,+,0.4070,0.0000,2,-,0.4060,0.0000
train,ENSG00000165480,ENSMMUG00000016560,chr13,-,0.5810,0.0000,17,+,0.5790,0.0000
train,ENSG00000159173,ENSMMUG00000046222,chr1,-,0.5550,0.0000,1,-,0.5490,0.1220
train,ENSG00000255690,ENSMMUG00000020183,chr7,-,0.5940,0.0000,3,+,0.5880,0.0040
train,ENSG00000136161,ENSMMUG00000017688,chr13,-,0.4660,0.0000,17,-,0.5110,0.1190
train,ENSG00000129933,ENSMMUG00000008931,chr19,+,0.5950,0.0000,19,+,0.5850,0.1550
train,ENSG00000143320,ENSMMUG00000002295,chr1,-,0.6550,0.0000,1,+,0.6510,0.0000
train,ENSG00000125733,ENSMMUG00000008697,chr19,+,0.6300,0.0000,19,+,0.6170,0.0920
train,ENSG00000262406,ENSMMUG00000004250,chr11,-,0.3750,0.0000,14,-,0.3660,0.1430
train,ENSG00000139211,ENSMMUG00000012458,chr12,-,0.6110,0.0000,11,-,0.6090,0.0610
train,ENSG00000106006,ENSMMUG00000061724,chr7,-,0.6100,0.0000,3,+,0.6080,0.0440
train,ENSG00000085274,ENSMMUG00000021875,chr3,+,0.5420,0.0000,2,+,0.5260,0.0180
train,ENSG00000180245,ENSMMUG00000021223,chr4,+,0.3280,0.0000,5,+,0.3310,0.0220
train,ENSG00000105509,ENSMMUG00000013050,chr19,-,0.5990,0.0000,19,-,0.5310,0.1220
test,ENSG00000012232,ENSMMUG00000017700,chr8,+,0.4670,0.0000,8,+,0.5410,0.1140
train,ENSG00000153395,ENSMMUG00000005199,chr5,-,0.6550,0.0000,6,-,0.6500,0.1360
train,ENSG00000196943,ENSMMUG00000010049,chr14,+,0.6030,0.0000,7,+,0.6170,0.0250
train,ENSG00000133138,ENSMMUG00000021413,chrX,+,0.4150,0.0000,X,+,0.4100,0.1640
train,ENSG00000127249,ENSMMUG00000009764,chr3,-,0.5620,0.0000,2,+,0.4040,0.1140
train,ENSG00000090097,ENSMMUG00000022205,chr3,-,0.6140,0.0000,2,-,0.5800,0.0060
train,ENSG00000048540,ENSMMUG00000040307,chr12,-,0.4160,0.0000,11,-,0.4150,0.1440
train,ENSG00000102886,ENSMMUG00000029164,chr16,-,0.6250,0.0000,20,+,0.6150,0.0000
test,ENSG00000064218,ENSMMUG00000044083,chr9,+,0.5780,0.0000,15,-,0.4510,0.1240
train,ENSG00000109906,ENSMMUG00000007085,chr11,+,0.5890,0.0000,14,+,0.6080,0.1680
train,ENSG00000149480,ENSMMUG00000018110,chr11,-,0.6790,0.0000,14,+,0.6740,0.0080
train,ENSG00000201613,ENSMMUG00000057826,chr6,-,0.3140,0.0000,4,-,0.3050,0.0180
train,ENSG00000168016,ENSMMUG00000006816,chr3,-,0.5730,0.0000,2,-,0.5670,0.0000
train,ENSG00000244692,ENSMMUG00000041324,chr3,-,0.3410,0.0000,2,-,0.3430,0.0210
train,ENSG00000113163,ENSMMUG00000006141,chr5,-,0.4140,0.0000,6,-,0.4590,0.0000
train,ENSG00000188517,ENSMMUG00000017703,chr4,-,0.5430,0.0000,5,-,0.6240,0.1040
train,ENSG00000011201,ENSMMUG00000018191,chrX,-,0.5950,0.0000,X,-,0.5650,0.0790
train,ENSG00000129595,ENSMMUG00000012192,chr5,-,0.7130,0.0000,6,-,0.7120,0.0930
train,ENSG00000228727,ENSMMUG00000045974,chr6,+,0.5010,0.0000,4,-,0.4960,0.0000
train,ENSG00000211801,ENSMMUG00000052490,chr14,+,0.3540,0.0000,7,+,0.3920,0.1670
train,ENSG00000165474,ENSMMUG00000010522,chr13,-,0.6390,0.0000,17,+,0.6920,0.1880
train,ENSG00000179603,ENSMMUG00000015240,chr7,-,0.6530,0.0000,3,-,0.3580,0.0660
train,ENSG00000008130,ENSMMUG00000010879,chr1,-,0.5830,0.0000,1,+,0.5430,0.0550
train,ENSG00000154640,ENSMMUG00000002116,chr21,-,0.5630,0.0000,3,+,0.6020,0.0000
train,ENSG00000208772,ENSMMUG00000033951,chr2,+,0.4000,0.0000,13,-,0.4130,0.0330
train,ENSG00000186335,ENSMMUG00000005567,chr5,-,0.4410,0.0000,6,-,0.4540,0.1680
val,ENSG00000196865,ENSMMUG00000016646,chr10,+,0.5090,0.0000,9,+,0.5290,0.0580
train,ENSG00000108352,ENSMMUG00000015160,chr17,+,0.5200,0.0000,16,+,0.5550,0.0670
train,ENSG00000108244,ENSMMUG00000001505,chr17,-,0.4640,0.0000,16,-,0.4930,0.0640
train,ENSG00000168924,ENSMMUG00000019948,chr4,-,0.7240,0.0000,5,-,0.6940,0.1180
train,ENSG00000109084,ENSMMUG00000054461,chr17,+,0.6140,0.0000,16,+,0.6400,0.0000
test,ENSG00000107165,ENSMMUG00000062815,chr9,+,0.4060,0.0000,15,-,0.3780,0.0070
test,ENSG00000172172,ENSMMUG00000002599,chr8,-,0.4140,0.0000,8,-,0.4440,0.1700
train,ENSG00000115368,ENSMMUG00000011080,chr2,+,0.4480,0.0000,12,+,0.4670,0.0660
train,ENSG00000058729,ENSMMUG00000000307,chr5,-,0.4600,0.0000,6,-,0.4610,0.0000
val,ENSG00000166033,ENSMMUG00000056637,chr10,+,0.4900,0.0000,9,+,0.6600,0.1170
train,ENSG00000239007,ENSMMUG00000037336,chr1,-,0.5520,0.0000,1,+,0.5370,0.0000
train,ENSG00000180772,ENSMMUG00000055906,chrX,+,0.3670,0.0000,X,+,0.2880,0.0150
train,ENSG00000240021,ENSMMUG00000054486,chr1,+,0.5370,0.0000,1,+,0.5320,0.0000
train,ENSG00000166963,ENSMMUG00000007255,chr15,+,0.5610,0.0000,7,+,0.5460,0.0000
train,ENSG00000100580,ENSMMUG00000056541,chr14,-,0.5360,0.0000,7,-,0.5180,0.0760
train,ENSG00000196187,ENSMMUG00000005785,chr1,-,0.6800,0.0000,1,-,0.6570,0.1070
train,ENSG00000178403,ENSMMUG00000014078,chr4,-,0.5970,0.0000,5,-,0.6150,0.1730
train,ENSG00000198932,ENSMMUG00000046251,chrX,+,0.5230,0.0000,X,+,0.5930,0.0000
train,ENSG00000059804,ENSMMUG00000046124,chr12,-,0.4840,0.0000,11,+,0.4170,0.1850
train,ENSG00000116745,ENSMMUG00000002752,chr1,-,0.3880,0.0000,1,+,0.3740,0.1070
test,ENSG00000104722,ENSMMUG00000000639,chr8,+,0.5980,0.0000,8,+,0.6020,0.1990
